( data_00001 "lamcyun waidou gongsai go dungtau  jigam hai fuzau go sihatkeoi ji honjan waizyu" )
( data_00003 "gan dou  jung zijinsou  tung dou danggaa leoi go koinim  hodingji zingsou" )
( data_00005 "jung jauleisou  tungmaai dou gikhaan go koinim  hodingji satsou" )
( data_00007 "loukai haadai gundou ngzek zantung dou ngzek hoeng " )
( data_00010 "keoi faatming lau zaajoek  gam zau zaan dou houdocin" )
( data_00011 "gamgong soeng zau jau gongsai zeoidaai go seoidinzaam - maanon seoidinzaam" )
( data_00012 "gamjyu jau jatdaai taat go gudoi go zici jungfaat" )
( data_00017 "tunggu dou soengciu zauciu hai gwai ngaaigwok  go jaa zau hai keoi  ngaaigwok  mingzi go loijyun" )
( data_00020 "mou go zaujiu sai ngan zi gwong feizau coi jau coenggengluk" )
( data_00021 "cingjyunkeoi hai gaton gun dou go jatzek sihatkeoi" )
( data_00023 "cingwanpoukeoi hai naamcoeng go jatzek sihatkeoi" )
( data_00024 "dou sojau go ngaiseot leoijing leoitau  jamlok syun hai zeoi cauzoeng go ngaiseot" )
( data_00027 "saitau hai pojoengwu  zunggaan hai pojoengwu pingjyun" )
( data_00029 "toniu hai saigaai soeng zeoidaai go niu keoi go daan jaa hai saigaai zeoidaai go daan lau" )
( data_00030 "jingtaam hai gongsai gun dou go jatzek deikapsi" )
( data_00033 "soengleot hai pinghoeng gun dou go jatzek jyun  keoi wai dou pinghoeng go bak sau" )
( data_00037 "zunggwok go lingtou minzik zoi cyunsaigaai paai zoi daisaam coenggong gan wongho hai keoi zeoicoeng go loengtiu ho" )
( data_00038 "go coengzoeng dou battung go sozoi giufaat bat jatjoeng" )
( data_00039 "zungwaamangwokzingfu zyuzoeng zi zunggwok daailuk lingtou  zak batzoi satzai hungzai zihaa" )
( data_00043 "seonzaukeoi hai soengjiu daihaa go jatzek sihatkeoi" )
( data_00045 "faahok hai jatmun jingau matzat go singzat  zousing  gitkau gan binfaa go fohok" )
( data_00046 "naamsing haadai gundou gauzek zan saamzek hoeng " )
( data_00048 "naamgikzau hoji fansing dungsai loengzek boufan" )
( data_00049 "naamhoi hai zi zunggwok jinaam go hoi" )
( data_00050 "naamfung hai fuzau gun dou go jatzek jyun" )
( data_00053 "gaton hai gongsai gun dou go jatzek deikapsi" )
( data_00054 "gatonsi haadai gundou jatzek keoi  jatzek si  sapzek jyun" )
( data_00056 "gatzaukeoi gun dou lukzek gaaidou saamzek zan loengzek hoeng " )
( data_00058 "zunggwok zeoizou go deilei fongmin go syu jau  jyugung  tungdak  saanhoiging  dang" )
( data_00059 "moujyun hai soengjiu go jatzek jyun  waidou gongsai  zitgong  onfai saam saang go gaai soeng" )
( data_00060 "dang hungzi gwosai hau  likciulikdoi go daiwong dou jatging lei zeoifung hungzi" )
( data_00062 "onji hai naamcoeng gun dou go jatzek jyun" )
( data_00064 "gamhaa gundou jatzek sihatkeoi tung dou saamzek jyunkapsi lukzek jyun" )
( data_00065 "zoengzeonzau hai leibaak go jatsau si" )
( data_00066 "saankeoi haadai gundou saamzek gaaidou  catzek zan  tung dou ngzek hoeng " )
( data_00072 "ngaanhaa lung gung gundou jatzek sihatkeoi tung dou sapzek jyun" )
( data_00073 "gan  hai zek zatloeng daanwai" )
( data_00079 "gingdakzan go cihei jauming soeng lau  to zyunwai  cidou " )
( data_00081 "jyutwukeoi haadai gundou lukzek gaaidou jatzek zantung dou jatzek hoeng " )
( data_00082 "jauleisou hai cyunbou hoji jung loengzek zingsou go beilai biusi dak zing go satsou  zik hai fansou" )
( data_00083 "dungging hai jatbun go zingzi  gingzai  manfaa  gaautung dang gok fongmin go zungsam" )
( data_00087 "wingsan waidou gongsai go saisau  losiusaan mak go zunggaan jiu  gwai dou gaton gun" )
( data_00088 "zipdou jyun gwoklap naamcoengdaaihok sifaanhokjyun goi zousing gongsai sifaanhokjyun  hauloi go gongsaisifaandaaihok " )
( data_00089 "gongsai waidou coenggong zunghaajau go naam sau  keoi go saangwui hai naamcoeng" )
