( data_00001 "臨川 位到 江西 嗰 東頭 ， 而今 係 撫州 嗰 市轄區 以 漢人 為主" )
( data_00003 "跟 到 ， 用 自然數 ， 同 到 等價 類 嗰 概念 ， 可定義 整數" )
( data_00005 "用 有理數 ， 同埋 到 極限 嗰 概念 ， 可定義 實數" )
( data_00007 "瀘溪 下底 管到 五隻 鎮同 到 五隻 鄉 ：" )
( data_00010 "佢 發明 嘍 炸藥 ， 咁 就 賺 到 好多錢" )
( data_00011 "贛江 上 就 有 江西 最大 嗰 水電站 - 萬安 水電站" )
( data_00012 "贛語 有 一大 撻 嗰 古代 嗰 字詞 用法" )
( data_00017 "銅鼓 到 商朝 周朝 係 歸 艾國 ， 箇 也 就 係 佢 「 艾國 」 名字 嗰 來源" )
( data_00020 "母 嗰 就要 細 奀 子 光 非洲 才 有 長頸鹿" )
( data_00021 "青原區 係 吉安 管 到 嗰 一隻 市轄區" )
( data_00023 "青雲譜區 係 南昌 嗰 一隻 市轄區" )
( data_00024 "到 所有 嗰 藝術 類型 裡頭 ， 音樂 算 係 最 抽象 嗰 藝術" )
( data_00027 "西頭 係 鄱陽湖 ， 中間 係 鄱陽湖 平原" )
( data_00029 "鴕鳥 係 世界 上 最大 嗰 鳥 佢 嗰 蛋 也 係 世界 最大 嗰 蛋 嘍" )
( data_00030 "鷹潭 係 江西 管 到 嗰 一隻 地級市" )
( data_00033 "上栗 係 萍鄉 管 到 嗰 一隻 縣 ， 佢 位 到 萍鄉 嗰 北 首" )
( data_00037 "中國 嗰 領土 面積 在 全世界 排 在 第三 長江 跟 黃河 係 佢 最長 嗰 兩條 河" )
( data_00038 "箇 場仗 到 不同 嗰 所在 叫法 不 一樣" )
( data_00039 "中華民國政府 主張 之 中國 大陸 領土 ， 則 不在 實際 控制 之下" )
( data_00043 "信州區 係 上饒 底下 嗰 一隻 市轄區" )
( data_00045 "化學 係 一門 研究 物質 嗰 性質 、 組成 、 結構 跟 變化 嗰 科學" )
( data_00046 "南城 下底 管到 九隻 鎮 三隻 鄉 ：" )
( data_00048 "南極洲 可以 分成 東西 兩隻 部分" )
( data_00049 "南海 係 指 中國 以南 嗰 海" )
( data_00050 "南豐 係 撫州 管 到 嗰 一隻 縣" )
