( data_00006 "中國 好 有名 嗰 畫家 、 詩人 、 作家 、 書法家 號稱 「 中國 文化 嗰 國際 使者 」" )
( data_00001 "臨川 位到 江西 嗰 東頭 ， 而今 係 撫州 嗰 市轄區 以 漢人 為主" )
( data_00088 "接到 原 國立 南昌大學 師範學院 改 組成 江西 師範學院 （ 後來 嗰 江西師範大學 ）" )
( data_00045 "化學 係 一門 研究 物質 嗰 性質 、 組成 、 結構 跟 變化 嗰 科學" )
( data_00037 "中國 嗰 領土 面積 在 全世界 排 在 第三 長江 跟 黃河 係 佢 最長 嗰 兩條 河" )
( data_01293 "十輪 院 係 日本 奈良縣 奈良市 十輪 院 町 嗰 一間 真言 宗 醍醐 派 嗰 寺院" )
( data_00017 "銅鼓 到 商朝 周朝 係 歸 艾國 ， 箇 也 就 係 佢 「 艾國 」 名字 嗰 來源" )
( data_00024 "到 所有 嗰 藝術 類型 裡頭 ， 音樂 算 係 最 抽象 嗰 藝術" )
( data_00003 "跟 到 ， 用 自然數 ， 同 到 等價 類 嗰 概念 ， 可定義 整數" )
( data_01089 "印紋陶 分佈 圖 汉语 南方 方言 的 特征 及其 人文 背景" )
( data_00650 "晉朝 同到 宋 、 齊 、 梁 、 陳 四朝 對 廬陵 郡 都 冇 做什哩 大 嗰 變動" )
( data_00060 "等 孔子 過世 後 ， 歷朝歷代 嗰 帝王 都 一徑 俚 追封 孔子" )
( data_00011 "贛江 上 就 有 江西 最大 嗰 水電站 - 萬安 水電站" )
( data_00975 "存在 一般 來話 就 係 我 個 俚 搦 自簡 嗰 感官 去 瞭解 箇隻 物質 嗰 世界" )
( data_00039 "中華民國政府 主張 之 中國 大陸 領土 ， 則 不在 實際 控制 之下" )
( data_01062 "儒家 哲學 涉及 政治 、 道德 、 社會 ， 到 東亞各國 之中 好 有 影響力" )
( data_00058 "中國 最早 嗰 地理 方面 嗰 書 有 《 禹貢 》 同得 《 山海經 》 等" )
( data_00552 "王莽篡漢 嗰 時間 ， 佢 同 嚴 豐 等 人 帶兵 反 王莽" )
( data_00007 "瀘溪 下底 管到 五隻 鎮同 到 五隻 鄉 ：" )
( data_01026 "辛亥革命 過後 佢 擔任 過 江西省 軍政府 嗰 都督" )
( data_01201 "朝鮮 京畿道 人 ， 佢 係 韓國 朝鮮 王朝 嗰 政治家 、 詩人 、 敎 育家" )
( data_00271 "湖北 早先 係 楚國 嗰 地 盤子 ， 末後 時常 跟 湖南 合稱 「 湖廣 」" )
( data_00921 "箇 部 電影 得到 蠻 多 嗰 好評 ， 係 英國 電影史 上 最 賣座 嗰 發行 影片" )
( data_00665 "熊縉 ， 西晉 豫章 郡 人 佢 係 許 時間 嗰 鄱陽 太守 佢 屋裡 兄 係 熊遠" )
( data_00332 "蓮花 話 係 贛 語 嗰 一隻 方言 ， 話 佢 嗰 人 主要 住 到 蓮花" )
( data_00299 "天干 哈 表示 得 正 植物 嗰 生長 週期 ， 甲 係 話 殼 嗰 種子" )
( data_00020 "母 嗰 就要 細 奀 子 光 非洲 才 有 長頸鹿" )
( data_01171 "出世 ， 係 冰 墨西哥 一隻 歌手 、 作曲家 、 演員 、 音樂 製作 人" )
( data_00390 "「 八一 」 起義 指揮部 舊址" )
( data_00087 "永新 位到 江西 嗰 西首 ， 羅霄山 脈 嗰 中間 腰 ， 歸 到 吉安 管" )
( data_01187 "【 穩定 體 】 強調 一隻 動 做 嗰 穩定 狀態" )
( data_00040 "中華蘇維埃共和國 臨時 中央政府 主要 領導人 ：" )
( data_00920 "南昌 貢院 係 江西 古 時間 舉行 科舉 鄉試 嗰 考場 所在" )
( data_00857 "通常 一本 族譜 都 含 到 下 頭 嗰 幾隻 要素 ：" )
( data_00079 "景德鎮 嗰 瓷器 有名 傷 嘍 ， 拕 尊為 「 瓷都 」" )
( data_00059 "婺源 係 上饒 嗰 一隻 縣 ， 位到 江西 、 浙江 、 安徽 三 省 嗰 界 上" )
( data_00010 "佢 發明 嘍 炸藥 ， 咁 就 賺 到 好多錢" )
( data_00864 "佢 係 宋 國 霖 嗰 大 崽 ， 佢 嗰 娘 係 魏 氏" )
( data_00342 "邵武 話 係 贛 語 嗰 一隻 方言 ， 話 佢 嗰 人 主要 住 到 福建 嗰 邵武" )
( data_00029 "鴕鳥 係 世界 上 最大 嗰 鳥 佢 嗰 蛋 也 係 世界 最大 嗰 蛋 嘍" )
( data_00932 "達芬奇 先頭 係 憑得 畫畫 出名 嗰" )
( data_00856 "第年 ， 「 江西 行省 」 拕 改 做 「 江西 承宣 布政使 司 」" )
( data_00391 "明朝 時間 ， 宋應星 寫 嗰 《 天工開物 》 就 係 本 好 有名 嗰 百科全書" )
( data_00065 "將進酒 係 李白 嗰 一首 詩" )
( data_00052 "印歐語 系 各 語言 包括 ：" )
( data_00028 "馬丁 · 路德 · 金" )
( data_01253 "聯合國 嗰 總部 坐落 嘚 紐約" )
( data_00954 "江西 嗰 官制 係 話 江西 到 近代 以前 嗰 各級 統治 機關 嗰 歷史 制度" )
( data_00926 "佢 係 由 一隻 重 讀音 連 到 一隻 輕 讀音 組成 嗰" )
